id,tweet_id,user_id,username,content,language,created_at,difficulty_level,category,keywords,sentiment_score,retweet_count,like_count,reply_count,collected_at
14,zh_14,user_zh_7770,用户133,iPhone的存储空间不够用，64GB根本不够,zh,2025-09-06 01:12:48.689178,5,用户体验,"问题,体验,功能",-0.6817861141525121,47,23,12,2025-09-09 05:12:48
3,zh_3,user_zh_4467,用户702,淘宝的搜索功能有问题，搜不到想要的商品,zh,2025-09-04 19:12:48.689118,4,价格费用,"问题,体验,功能",-0.2793298199628653,50,93,0,2025-09-09 05:12:48
8,zh_8,user_zh_2791,用户546,淘宝的物流信息更新不及时，不知道包裹到哪了,zh,2025-09-02 05:12:48.689144,2,用户体验,"问题,体验,功能",-0.5849558156977076,46,21,0,2025-09-09 05:12:48
15,zh_15,user_zh_7991,用户771,安卓系统的权限管理有问题，应用乱要权限,zh,2025-08-30 15:12:48.689182,1,价格费用,"问题,体验,功能",-0.5375575063700727,2,34,12,2025-09-09 05:12:48
12,zh_12,user_zh_5114,用户492,支付宝的安全验证太繁琐，每次都要验证好几遍,zh,2025-08-29 00:12:48.689169,2,功能需求,"问题,体验,功能",-0.41533426896713255,47,13,11,2025-09-09 05:12:48
2,zh_2,user_zh_8169,用户803,支付宝的界面设计太复杂了，找个功能要找半天,zh,2025-08-24 10:12:48.689110,3,技术问题,"问题,体验,功能",-0.5302330184913655,7,22,18,2025-09-09 05:12:48
6,zh_6,user_zh_2734,用户676,微信支付经常出错，付款的时候总是失败,zh,2025-08-23 10:12:48.689135,3,功能需求,"问题,体验,功能",-0.7475203084788531,20,18,10,2025-09-09 05:12:48
10,zh_10,user_zh_4145,用户556,安卓手机的广告太多，很影响使用体验,zh,2025-08-19 13:12:48.689154,4,技术问题,"问题,体验,功能",-0.24310143743970536,12,67,2,2025-09-09 05:12:48
7,zh_7,user_zh_5715,用户553,支付宝的客服态度很差，问题解决不了还很傲慢,zh,2025-08-18 09:12:48.689139,5,功能需求,"问题,体验,功能",-0.6641289806872629,8,53,2,2025-09-09 05:12:48
11,zh_11,user_zh_9699,用户595,微信群聊的消息太多，找历史消息很困难,zh,2025-08-18 06:12:48.689159,1,功能需求,"问题,体验,功能",-0.7752022258940614,13,88,10,2025-09-09 05:12:48
1,zh_1,user_zh_7096,用户482,微信又卡了，发消息半天发不出去，这什么破网络,zh,2025-08-17 16:12:48.689087,1,服务质量,"问题,体验,功能",-0.6717059432257697,21,91,6,2025-09-09 05:12:48
4,zh_4,user_zh_8837,用户563,iPhone电池耗电太快，一天要充好几次电,zh,2025-08-17 13:12:48.689124,5,用户体验,"问题,体验,功能",-0.24577520594748847,32,58,2,2025-09-09 05:12:48
13,zh_13,user_zh_9291,用户671,淘宝的退货流程太复杂，客服推来推去,zh,2025-08-14 15:12:48.689173,5,功能需求,"问题,体验,功能",-0.48399287824836196,13,82,20,2025-09-09 05:12:48
9,zh_9,user_zh_8480,用户547,iPhone的价格太贵了，性价比不高,zh,2025-08-14 07:12:48.689149,2,价格费用,"问题,体验,功能",-0.5003001292602332,20,43,8,2025-09-09 05:12:48
5,zh_5,user_zh_4906,用户700,安卓系统更新后变得很慢，应用启动要等很久,zh,2025-08-13 03:12:48.689129,3,服务质量,"问题,体验,功能",-0.3236478313455146,47,57,1,2025-09-09 05:12:48
